Series Name,Series Code,Country Name,Country Code,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,Population2016,Population2017,Population2018,Population2019,Population2020
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Kiribati,PRK,0,0,0,0,0,25307665,25429816,25549606,25666158,25778815
GDP per capita (constant LCU),NY.GDP.PCAP.KN,North Korea,KOR,33325918,34282437,35111870,35756928,35365572,51217803,51361911,51606633,51709098,51780579
GDP per capita (constant LCU),NY.GDP.PCAP.KN,South Korea,XKX,2846,2944,3045,3211,3012,1777557,1791003,1797085,1788878,1775378
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Kosovo,KWT,10285,9561,9490,9372,0,3956862,4056102,4137314,4207077,4270563
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Kuwait,KGZ,47984,49296,50141,51364,45974,6079500,6198200,6322800,6456200,6591600
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Kyrgyzstan ,LAO,15909643,16744065,17516963,18194825,18008291,6845848,6953031,7061498,7169456,7275556
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Lao PDR,LVA,12831,13366,14013,14397,13965,1959537,1942248,1927174,1913822,1901548
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Latvia,LBN,9661520,9593553,9353828,8731830,6990130,6714281,6819373,6859408,6855709,6825442
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Lebanon,LSO,10845,10422,10212,10092,8905,2075041,2091532,2108327,2125267,2142252
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Lesotho,LBR,302,302,298,284,269,4586788,4702224,4818976,4937374,5057677
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Liberia,LBY,3610,4511,5118,5171,3504,6492160,6580723,6678565,6777453,6871287
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Libya,LIE,0,0,0,0,0,37655,37805,37918,38020,38137
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Liechtenstein,LTU,13348,14116,14812,15496,15358,2868231,2828403,2801543,2794137,2794700
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Lithuania,LUX,93550,92948,94009,94299,91254,582014,596336,607950,620001,632275
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Luxembourg,MAC,622131,673516,706785,678735,292488,612824,622578,631633,640446,649342
GDP per capita (constant LCU),NY.GDP.PCAP.KN,"Macao SAR, China",MKD,209206,211342,217329,224174,214022,2080746,2081996,2082957,2083458,2083380
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Madagascar,MDG,784886,794188,798012,811284,756954,24894370,25570511,26262313,26969306,27691019
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Malawi,MWI,358640,363172,369340,380293,373292,17205253,17670193,18143215,18628749,19129955
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Malaysia,MYS,40063,41819,43225,44490,41464,30684652,31104655,31528033,31949789,32365998
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Maldives,MDV,130840,134370,139853,145326,97095,475505,496398,515704,530957,540542
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Mali,MLI,261142,266872,271255,275794,263306,17965448,18512429,19077755,19658023,20250834
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Malta,MLT,22852,24040,24417,24776,22111,455356,467999,484630,504062,525285
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Marshall Islands,MHL,3217,3307,3397,3595,0,57723,58053,58412,58791,59194
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Mauritania,MRT,51147,51465,51112,52680,50512,4163532,4282582,4403312,4525698,4649660
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Mauritius,MUS,263238,273032,283142,291584,248226,1263473,1264613,1265303,1265711,1265740
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Mexico,MEX,143896,145237,146762,145090,131734,123333379,124777326,126190782,127575529,128932753
GDP per capita (constant LCU),NY.GDP.PCAP.KN,"Micronesia, Fed. Sts.",FSM,2214,2248,2229,2233,0,110215,111461,112640,113811,115021
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Moldova,MDA,38587,41086,43596,45920,43461,2802170,2755158,2708214,2663251,2617820
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Monaco,MCO,146612,140439,147889,157818,0,38070,38392,38682,38967,39244
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Mongolia,MNG,5246743,5424829,5714394,5906816,5501040,3056358,3113788,3170214,3225166,3278292
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Montenegro,MNE,4353,4558,4791,4987,4233,622303,622373,622227,622028,621718
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Morocco,MAR,25583,26324,26810,27136,24900,35126274,35581257,36029089,36471766,36910558
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Mozambique,MOZ,22115,22287,22392,22249,21339,27829930,28649007,29496009,30366043,31255435
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Myanmar,MMR,1479553,1564370,1659842,1677439,1499717,53045199,53382521,53708318,54045422,54409794
