Series Name,Series Code,Country Name,Country Code,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,,Population2016,Population2017,Population2018,Population2019,Population2020
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PHL,3074,3123,3252,3485,3299,,103663812,105172921,106651394,108116622,109581085
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,POL,12447,13865,15468,15695,15656,,37970087,37974826,37974750,37965475,37950802
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,PRT,19978,21437,23551,23285,22440,,10325452,10300300,10283822,10286263,10305564
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRI,30627,31109,31605,32851,32291,,3406672,3325286,3193354,3193694,3194034
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,QAT,57163,59125,65908,62088,50805,,2654379,2724727,2781682,2832071,2881060
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,ROU,9549,10807,12399,12890,12896,,19702267,19588715,19473970,19371648,19286123
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,RUS,8705,10720,11287,11498,10127,,144342397,144496739,144477859,144406261,144104080
GDP per capita (current US$),NY.GDP.PCAP.CD,Russia,RWA,745,772,784,820,798,,11668829,11980960,12301969,12626938,12952209
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,WSM,4109,4260,4189,4324,4067,,194540,195358,196128,197093,198410
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,SMR,43828,45399,48997,47731,0,,33503,33671,33784,33864,33938
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,STP,1700,1814,1954,1988,2158,,203221,207086,211032,215048,219161
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,SAU,19879,20802,23337,23140,20110,,32443443,33101183,33702757,34268529,34813867
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SEN,1270,1362,1458,1430,1488,,14993514,15419354,15854324,16296362,16743930
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SRB,5765,6293,7252,7412,7666,,7058322,7020858,6982604,6945235,6908224
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SYC,15069,15906,16391,16199,11425,,94677,95843,96762,97625,98462
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SLE,501,499,534,528,485,,7328846,7488427,7650149,7813207,7976985
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SGP,56848,61176,66679,65641,59798,,5607283,5612253,5638676,5703569,5685807
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SXM,31617,29369,29160,0,0,,39969,40574,40654,40733,40812
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SVK,16509,17504,19365,19273,19157,,5430798,5439232,5446771,5454147,5458827
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVN,21664,23455,26103,25941,25180,,2065042,2066388,2073894,2088385,2100126
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SLB,2225,2333,2412,2344,2258,,619438,636030,652856,669821,686878
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SOM,296,309,315,320,309,,14185635,14589165,15008225,15442906,15893219
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,ZAF,5273,6131,6373,6001,5091,,56207649,57009751,57792520,58558267,59308690
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,SSD,0,0,0,0,0,,10832520,10910774,10975924,11062114,11193729
GDP per capita (current US$),NY.GDP.PCAP.CD,S. Sudan,ESP,26505,28101,30375,29565,27057,,46484062,46593236,46797754,47133521,47351567
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,LKA,3886,4077,4059,3852,3682,,21203000,21444000,21670000,21803000,21919000
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,KNA,18811,19159,19277,19773,17436,,51629,52036,52438,52834,53192
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,LCA,10362,11047,11358,11611,9276,,180028,180955,181890,182795,183629
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,MAF,0,0,0,0,0,,36061,36569,37264,38002,38659
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),VCT,7075,7213,7361,7457,7298,,109467,109826,110210,110593,110947
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,SDN,1325,1103,826,753,595,,39847433,40813398,41801532,42813237,43849269
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SUR,5873,6296,6938,7261,6491,,564883,570501,575987,581363,586634
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SWZ,3426,3914,4106,3895,3415,,1113994,1124808,1136274,1148133,1160164
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,51965,53792,54589,51687,51926,,9923085,10057698,10175214,10278887,10353442
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,83073,83352,86430,85300,86602,,8373338,8451840,8514329,8575280,8636896
GDP per capita (current US$),NY.GDP.PCAP.CD,Syria,SYR,0,0,0,0,0,,17465567,17095669,16945062,17070132,17500657
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,807,849,853,891,859,,8663575,8880270,9100847,9321023,9537642
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,967,1005,1043,1086,1076,,53049231,54660345,56313444,58005461,59734213
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,5993,6594,7297,7817,7189,,68971313,69209817,69428454,69625581,69799978
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TLS,1354,1286,1230,1561,1381,,1219289,1243260,1267975,1293120,1318442
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,803,831,902,893,915,,7509952,7698476,7889095,8082359,8278737
