Series Name,Country,Country Code,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,,Series Name,Continent(Population),Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],,Series Name,Continent,Country Code,GDP per capita (2016),GDP per capita (2017),GDP per capita (2018),GDP per capita (2019),GDP per capita (2020),,,,Series Name,Country Name(Population),Country Code,Population_2016 ,Population_2017,Population_2018,Population_2019,Population_2020
GDP per capita (current US$),Faroe Islands,FRO,56854,59993,62918,64225,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Faroe Islands,FRO,48173.00,48326.00,48497.00,48677.00,48865.00
GDP per capita (current US$),Fiji,FJI,5651,6101,6317,6176,4882,,,,,,,,,,,,,,,,,,,,,,"Population, total",Fiji,FJI,872406.00,877460.00,883490.00,889955.00,896444.00
GDP per capita (current US$),Finland,FIN,43784,46297,50013,48712,49041,,,,,,,,,,,,,,,,,,,,,,"Population, total",Finland,FIN,5495303.00,5508214.00,5515525.00,5521606.00,5530719.00
GDP per capita (current US$),France,FRA,37037,38685,41526,40380,38625,,,,,,,,,,,,,,,,,,,,,,"Population, total",France,FRA,66724104.00,66918020.00,67101930.00,67248926.00,67391582.00
GDP per capita (current US$),French Polynesia,PYF,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",French Polynesia,PYF,274576.00,276108.00,277673.00,279285.00,280904.00
GDP per capita (current US$),Gabon,GAB,6984,7230,7957,7767,7006,,,,,,,,,,,,,,,,,,,,,,"Population, total",Gabon,GAB,2007882.00,2064812.00,2119275.00,2172578.00,2225728.00
GDP per capita (current US$),"Gambia, The",GMB,691,680,733,778,787,,,,,,,,,,,,,,,,,,,,,,"Population, total","Gambia, The",GMB,2149134.00,2213900.00,2280092.00,2347696.00,2416664.00
GDP per capita (current US$),Georgia,GEO,4062,4357,4723,4698,4279,,,,,,,,,,,,,,,,,,,,,,"Population, total",Georgia,GEO,3727505.00,3728004.00,3726549.00,3720161.00,3714000.00
GDP per capita (current US$),Germany,DEU,42108,44443,47787,46468,45724,,,,,,,,,,,,,,,,,,,,,,"Population, total",Germany,DEU,82348669.00,82657002.00,82905782.00,83092962.00,83240525.00
GDP per capita (current US$),Ghana,GHA,1913,2021,2194,2210,2329,,,,,,,,,,,,,,,,,,,,,,"Population, total",Ghana,GHA,28481947.00,29121464.00,29767108.00,30417858.00,31072945.00
GDP per capita (current US$),Gibraltar,GIB,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Gibraltar,GIB,33738.00,33723.00,33715.00,33706.00,33691.00
GDP per capita (current US$),Greece,GRC,17885,18562,19766,19151,17676,,,,,,,,,,,,,,,,,,,,,,"Population, total",Greece,GRC,10775971.00,10754679.00,10732882.00,10721582.00,10715549.00
GDP per capita (current US$),Greenland,GRL,48182,50321,54471,0,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Greenland,GRL,56186.00,56172.00,56023.00,56225.00,56367.00
GDP per capita (current US$),Grenada,GRD,9628,10153,10486,10816,9680,,,,,,,,,,,,,,,,,,,,,,"Population, total",Grenada,GRD,110263.00,110874.00,111449.00,112002.00,112519.00
GDP per capita (current US$),Guam,GUM,36214,36602,36502,37724,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Guam,GUM,162948.00,164281.00,165770.00,167295.00,168783.00
GDP per capita (current US$),Guatemala,GTM,4173,4454,4478,4639,4603,,,,,,,,,,,,,,,,,,,,,,"Population, total",Guatemala,GTM,15827690.00,16087418.00,16346950.00,16604026.00,16858333.00
GDP per capita (current US$),Guinea,GIN,732,856,955,1058,1194,,,,,,,,,,,,,,,,,,,,,,"Population, total",Guinea,GIN,11738434.00,12067516.00,12414292.00,12771246.00,13132792.00
GDP per capita (current US$),Guinea-Bissau,GNB,661,739,803,749,728,,,,,,,,,,,,,,,,,,,,,,"Population, total",Guinea-Bissau,GNB,1782434.00,1828146.00,1874304.00,1920917.00,1967998.00
GDP per capita (current US$),Guyana,GUY,5811,6125,6146,6610,6956,,,,,,,,,,,,,,,,,,,,,,"Population, total",Guyana,GUY,771363.00,775218.00,779007.00,782775.00,786559.00
GDP per capita (current US$),Haiti,HTI,1266,1294,1435,1272,1177,,,,,,,,,,,,,,,,,,,,,,"Population, total",Haiti,HTI,10839976.00,10982367.00,11123183.00,11263079.00,11402533.00
GDP per capita (current US$),Honduras,HND,2343,2454,2510,2574,2406,,,,,,,,,,,,,,,,,,,,,,"Population, total",Honduras,HND,9270794.00,9429016.00,9587523.00,9746115.00,9904608.00
GDP per capita (current US$),"Hong Kong SAR, China",HKG,43731,46166,48543,48354,46324,,,,,,,,,,,,,,,,,,,,,,"Population, total","Hong Kong SAR, China",HKG,7336600.00,7391700.00,7451000.00,7507400.00,7481800.00
GDP per capita (current US$),Hungary,HUN,13091,14606,16411,16733,15899,,,,,,,,,,,,,,,,,,,,,,"Population, total",Hungary,HUN,9814023.00,9787966.00,9775564.00,9771141.00,9749763.00
GDP per capita (current US$),Iceland,ISL,61988,72010,74348,68883,59261,,,,,,,,,,,,,,,,,,,,,,"Population, total",Iceland,ISL,335439.00,343400.00,352721.00,360563.00,366425.00
GDP per capita (current US$),India,IND,1733,1981,1997,2101,1901,,,,,,,,,,,,,,,,,,,,,,"Population, total",India,IND,1324517250.00,1338676779.00,1352642283.00,1366417756.00,1380004385.00
GDP per capita (current US$),Indonesia,IDN,3563,3838,3894,4135,3870,,,,,,,,,,,,,,,,,,,,,,"Population, total",Indonesia,IDN,261556386.00,264650969.00,267670549.00,270625567.00,273523621.00
GDP per capita (current US$),Iran,IRN,5253,5520,3598,3115,2283,,,,,,,,,,,,,,,,,,,,,,"Population, total","Iran, Islamic Rep.",IRN,79563991.00,80673888.00,81800204.00,82913893.00,83992953.00
GDP per capita (current US$),Iraq,IRQ,4551,5077,5523,5658,4157,,,,,,,,,,,,,,,,,,,,,,"Population, total",Iraq,IRQ,36610632.00,37552789.00,38433604.00,39309789.00,40222503.00
GDP per capita (current US$),Ireland,IRL,62994,70413,79298,80779,83813,,,,,,,,,,,,,,,,,,,,,,"Population, total",Ireland,IRL,4755335.00,4807388.00,4867316.00,4934340.00,4994724.00
GDP per capita (current US$),Isle of Man,IMN,82197,83478,89113,0,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Isle of Man,IMN,83296.00,83610.00,84073.00,84589.00,85032.00
GDP per capita (current US$),Israel,ISR,37283,40475,41705,43589,43611,,,,,,,,,,,,,,,,,,,,,,"Population, total",Israel,ISR,8546000.00,8713300.00,8882800.00,9054000.00,9216900.00
GDP per capita (current US$),Italy,ITA,30940,32327,34609,33567,31676,,,,,,,,,,,,,,,,,,,,,,"Population, total",Italy,ITA,60627498.00,60536709.00,60421760.00,59729081.00,59554023.00
GDP per capita (current US$),Jamaica,JAM,4844,5070,5360,5369,4665,,,,,,,,,,,,,,,,,,,,,,"Population, total",Jamaica,JAM,2906242.00,2920848.00,2934853.00,2948277.00,2961161.00
GDP per capita (current US$),Japan,JPN,38762,38387,39159,40113,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Japan,JPN,126994511.00,126785797.00,126529100.00,126264931.00,125836021.00
GDP per capita (current US$),Jordan,JOR,4175,4232,4308,4405,4283,,,,,,,,,,,,,,,,,,,,,,"Population, total",Jordan,JOR,9554286.00,9785840.00,9965322.00,10101697.00,10203140.00
