Country Name,Country Code,Series Name,Series Code,2016 [GDP GROWTH|2016],2017 [GDP GROWTH|2017],2018 [GDP GROWTH|2018],2019 [GDP GROWTH|2019],Growth,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Moldova,MDA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,5,4,4,-7,2802170,2755158,2708214,2663251,2617820
Monaco,MCO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,-3,6,8,0,38070,38392,38682,38967,39244
Mongolia,MNG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,5,7,5,-5,3056358,3113788,3170214,3225166,3278292
Montenegro,MNE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,5,5,4,-15,622303,622373,622227,622028,621718
Morocco,MAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,4,3,2,-7,35126274,35581257,36029089,36471766,36910558
Mozambique,MOZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,4,3,2,-1,27829930,28649007,29496009,30366043,31255435
Myanmar,MMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,6,7,2,-10,53045199,53382521,53708318,54045422,54409794
Namibia,NAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,-1,1,-1,-8,2358044,2402623,2448300,2494524,2540916
Nauru,NRU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,-6,6,0,0,10474,10577,10678,10764,10834
Nepal,NPL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,9,8,7,-2,27263430,27632682,28095712,28608715,29136808
Netherlands,NLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,3,2,2,-4,17030314,17131296,17231624,17344874,17441139
New Caledonia,NCL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,0,0,0,0,269350,270000,270650,271300,271960
New Zealand,NZL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,4,3,2,1,4714100,4813600,4900600,4979300,5084300
Nicaragua,NIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5,5,-3,-4,-2,6303970,6384843,6465502,6545503,6624554
Niger,NER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,5,7,6,2,20788789,21602388,22442831,23310719,24206636
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2,1,2,2,-2,185960244,190873247,195874685,200963603,206139587
North Macedonia,MKD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,1,3,3,-5,56187,56553,56889,57213,57557
Northern Mariana Islands,MNP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,29,23,-19,-11,0,5234519,5276968,5311916,5347896,5379475
Norway,NOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,2,1,1,-1,4479217,4665926,4829476,4974992,5106622
Oman,OMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5,0,1,-1,0,203631356,207906210,212228288,216565317,220892331
Pakistan,PAK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,6,6,1,1,17718,17809,17911,18001,18092
Palau,PLW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,-2,4,-4,0,4037073,4106764,4176868,4246440,4314768
Panama,PAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5,6,4,3,-18,8271766,8438038,8606324,8776119,8947027
Papua New Guinea,PNG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5,4,0,6,-4,6777878,6867058,6956069,7044639,7132530
Paraguay,PRY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,5,3,0,-1,30926036,31444299,31989265,32510462,32971846
Peru,PER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,3,4,2,-11,103663812,105172921,106651394,108116622,109581085
Philippines,PHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7,7,6,6,-10,37970087,37974826,37974750,37965475,37950802
Poland,POL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,5,5,5,-3,10325452,10300300,10283822,10286263,10305564
Portugal,PRT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,4,3,2,-8,3406672,3325286,3193354,3193694,3194034
Puerto Rico,PRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1,-3,-4,1,-4,2654379,2724727,2781682,2832071,2881060
Qatar,QAT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,-1,1,1,-4,19702267,19588715,19473970,19371648,19286123
Romania,ROU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5,7,4,4,-4,144342397,144496739,144477859,144406261,144104080
Russian Federation,RUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,2,3,2,-3,11668829,11980960,12301969,12626938,12952209
Rwanda,RWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,4,9,9,-3,194540,195358,196128,197093,198410
Samoa,WSM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8,1,-2,4,-3,33503,33671,33784,33864,33938
San Marino,SMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,0,2,2,0,203221,207086,211032,215048,219161
Sao Tome and Principe,STP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,4,3,2,3,32443443,33101183,33702757,34268529,34813867
Saudi Arabia,SAU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,-1,2,0,-4,14993514,15419354,15854324,16296362,16743930
Senegal,SEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,7,6,4,1,7058322,7020858,6982604,6945235,6908224
Serbia,SRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,2,4,4,-1,94677,95843,96762,97625,98462
Seychelles,SYC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5,5,1,2,-11,7328846,7488427,7650149,7813207,7976985
Sierra Leone,SLE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,4,3,6,-2,5607283,5612253,5638676,5703569,5685807
Singapore,SGP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,5,3,1,-5,39969,40574,40654,40733,40812
Sint Maarten (Dutch part),SXM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,-6,-7,0,0,5430798,5439232,5446771,5454147,5458827
Slovak Republic,SVK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,3,4,3,-5,2065042,2066388,2073894,2088385,2100126
Slovenia,SVN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,5,4,3,-6,619438,636030,652856,669821,686878
Solomon Islands,SLB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,5,4,1,-4,14185635,14589165,15008225,15442906,15893219
Somalia,SOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,1,3,3,-1,56207649,57009751,57792520,58558267,59308690
South Africa,ZAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,1,1,0,-7,10832520,10910774,10975924,11062114,11193729
South Sudan,SSD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,0,0,0,0,46484062,46593236,46797754,47133521,47351567
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,3,2,2,-11,21203000,21444000,21670000,21803000,21919000
Sri Lanka,LKA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,4,3,2,-4,51629,52036,52438,52834,53192
St. Kitts and Nevis,KNA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,-2,3,2,-11,180028,180955,181890,182795,183629
St. Lucia,LCA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,3,3,2,-20,36061,36569,37264,38002,38659
St. Martin (French part),MAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,0,0,0,0,109467,109826,110210,110593,110947
St. Vincent and the Grenadines,VCT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,1,2,0,-3,39847433,40813398,41801532,42813237,43849269
Sudan,SDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,5,3,-1,-2,564883,570501,575987,581363,586634
Suriname,SUR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-5,2,5,1,-15,1113994,1124808,1136274,1148133,1160164
Sweden,SWE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,3,2,1,-3,9923085,10057698,10175214,10278887,10353442
